dispute_id,transaction_id,customer_id,merchant_id,txn_amount,txn_datetime,channel,card_present,currency_type,geo_distance_km,txn_country,time_to_raise_days,mcc,mcc_group,customer_tenure_months,age_group,credit_risk_score,avg_monthly_spend,historical_dispute_count,payment_behavior_score,customer_country,merchant_risk_tier,merchant_dispute_rate,merchant_country,txn_count_10min,txn_count_1hr,txn_count_24hr,distinct_geo_10min,time_gap_prev_txn_min,device_switch_count_24hr,velocity_pattern_label,amount_velocity_10min,amount_velocity_1hr,amount_velocity_24hr,limit_violation,high_risk_country_violation,behavior_pattern_violation,aml_kyc_violation,fraud_pattern_violation,policy_rules_count,policy_severity_score,supporting_docs_count,evidence_quality_score,evidence_to_claim_ratio,sentiment_score,keyword_risk_flag,keyword_risk_score,dispute_text,transaction_risk_behavior_score,p_customer_favor,p_merchant_arbitration,p_customer_assertion,customer_favor,merchant_arbitration,customer_assertion,dispute_category,dispute_reason_code,dispute_channel,dispute_amount,dispute_datetime
DISP_004525,TXN_004525,CUST_00164,MER_0906,37.51693195968498,2024-07-15 07:43:00,POS,1,Domestic,9.536883851515151,CA,8,6011,ATM Withdrawals,88,26-35,0.6444688400997838,1771.4807065151588,0,1.0,US,1,0.0212961731538345,CA,1,2,3,1,89.35521367465405,0,normal,3.751693195968498,1.250564398656166,0.0781602749160103,0,1,0,1,0,2,5,2,0.7767593046773745,0.0533092631921278,-0.345195115123362,1,0.8781226486924006,I never received the product I paid for.,0.28,0.8330277914032123,0.15,0.3035585345370086,1,0,0,true_dispute,DUPLICATE,Web,37.51693195968498,2024-07-23 08:43:00
DISP_000925,TXN_000925,CUST_00026,MER_0254,133.19194239434984,2024-03-21 04:10:00,Online,0,Domestic,1714.8615244205507,CA,23,7841,Video Rental Stores,147,26-35,0.6782912348425346,2097.480909219179,4,0.8235281691022289,US,4,0.3288506538155621,CA,1,3,7,1,113.5878966027067,0,normal,13.319194239434983,6.659597119717492,0.647460831083645,0,1,0,0,0,1,2,2,0.640159790321067,0.0150159233662834,-0.5926315637421211,0,0.3195266361819712,"I did not recognize this charge, it looks like a scam.",0.51,0.4920479370963201,0.2719680419357866,0.3777894691226363,1,0,0,third_party_fraud,NOT_RECOGNIZED,App,133.19194239434984,2024-04-13 04:10:00
DISP_003429,TXN_003429,CUST_00580,MER_0706,170.72489650561658,2024-04-29 14:02:00,POS,1,Domestic,6.263026161653969,UK,51,5311,Department Stores,113,51-65,0.3543592623814992,1919.46183475496,1,0.8955631099372401,US,2,0.1467254622524951,UK,2,2,4,1,496.659336333758,0,low_velocity_high_amount,34.144979301123314,5.690829883520553,0.4742358236267127,0,1,0,0,0,1,2,2,0.5079427806981688,0.0117147530379917,-0.1290481514447833,1,0.3910592301416771,"This amount is too high, I want to dispute it.",0.36,0.4523828342094506,0.2984114438603663,0.238714445433435,0,0,1,first_party_fraud,QUALITY,App,170.72489650561658,2024-06-19 16:02:00
DISP_004479,TXN_004479,CUST_01650,MER_0900,11.371346208522798,2024-01-14 04:33:00,Online,0,Domestic,0.1414438046939892,CA,28,5816,Digital Goods - Games,65,36-50,0.658063598670654,708.6154427117222,0,0.7629458939719057,CA,3,0.2622097470733407,CA,3,5,5,1,68.04451131200996,1,normal,3.41140386255684,0.9476121840435664,0.0394838410018152,0,0,0,0,0,0,0,1,0.7389145597940346,0.0879403354415946,-0.1378440254717088,1,0.5935621868193618,I was charged twice for the same purchase.,0.3299999999999999,0.8216743679382104,0.15,0.2413532076415126,1,0,1,true_dispute,QUALITY,Web,11.371346208522798,2024-02-11 06:33:00
DISP_000677,TXN_000677,CUST_00242,MER_0580,33.18465299429981,2024-07-31 20:22:00,Online,0,Domestic,1556.2343813135071,US,60,8211,Education,114,36-50,0.5668119564621342,1574.3430451540996,4,0.4318893639992343,IN,1,0.0301920813282957,US,1,1,2,1,15.675967890526646,0,normal,3.318465299429981,0.5530775499049968,0.0460897958254164,0,0,0,0,0,0,0,0,0.4523691193039075,0.0,-0.7530086229675703,1,0.3459102091203047,I thought this subscription was cancelled.,0.13,0.4357107357911722,0.3095261761392185,0.4259025868902711,0,0,1,first_party_fraud,DUPLICATE,Web,33.18465299429981,2024-09-29 20:22:00
DISP_003739,TXN_003739,CUST_00668,MER_0627,63.75750787323514,2024-09-01 17:55:00,Online,0,Foreign,834.7891336802182,AU,16,7299,Personal Services,124,26-35,0.3881558520105216,1891.435453049804,3,1.0,US,3,0.2703528884220938,AU,1,2,3,1,104.11501636177732,1,normal,6.375750787323514,2.1252502624411718,0.1328281414025732,0,0,0,0,0,0,0,4,0.8235621147303198,0.0627377093840138,0.0662848270259066,1,0.4982594686156829,The service was not provided but I was billed.,0.3299999999999999,0.8470686344190959,0.15,0.219885448107772,1,0,1,true_dispute,QUALITY,Web,63.75750787323514,2024-09-17 18:55:00
DISP_002362,TXN_002362,CUST_00425,MER_0688,12.31633150349525,2024-11-10 21:51:00,App,0,Domestic,13.409832533718976,IN,32,5311,Department Stores,107,36-50,0.4161348274863596,635.2041130949509,1,0.9825668113539784,UK,2,0.0978018306659538,IN,2,3,6,1,1068.0279876718027,0,low_velocity_high_amount,2.46326630069905,0.6158165751747625,0.0513180479312302,0,1,0,0,0,1,2,0,0.1923683782521247,0.0,0.2218126392954581,0,0.3318841847774304,"This amount is too high, I want to dispute it.",0.36,0.3577105134756374,0.3615263243495751,0.2665437917886374,1,0,1,first_party_fraud,DUPLICATE,Web,12.31633150349525,2024-12-12 23:51:00
DISP_003485,TXN_003485,CUST_01855,MER_0628,318.6387645500994,2024-10-11 05:53:00,POS,1,Domestic,1717.073513716835,DE,10,5541,Service Stations,91,18-25,0.8256101406780296,1678.80756655968,2,0.7932025596313728,IN,2,0.0971236992800369,DE,3,5,8,1,35.38296899241283,0,normal,95.59162936502982,26.553230379174952,1.7702153586116631,0,0,0,0,0,0,0,2,0.9866822371937908,0.0062767002088521,-0.6170048099548973,0,0.4087427170537174,I never received the product I paid for.,0.21,0.8960046711581373,0.15,0.3851014429864692,1,0,1,true_dispute,DUPLICATE,App,318.6387645500994,2024-10-21 08:53:00
DISP_002357,TXN_002357,CUST_01450,MER_0517,423.48098816066886,2024-01-16 21:13:00,App,0,Foreign,17.257346014299987,AU,31,7841,Video Rental Stores,116,51-65,0.3130035943608406,1763.270698046748,0,0.8174117191697365,US,4,0.4413688714858196,AU,1,1,1,1,332.6194769503218,0,low_velocity_high_amount,42.34809881606689,7.058016469344481,0.29408401955602,0,1,0,0,0,1,2,1,0.2879270958717172,0.0023613810960991,-0.2271335547248315,0,0.2737941501665795,I don't remember making this purchase.,0.6000000000000001,0.3863781287615151,0.3424145808256565,0.2681400664174495,0,0,1,first_party_fraud,DUPLICATE,Call,423.48098816066886,2024-02-16 22:13:00
DISP_009100,TXN_009100,CUST_01220,MER_0854,203.57147677947543,2024-04-16 20:49:00,Online,0,Domestic,26.286217180875077,DE,48,4829,Money Transfer,142,26-35,0.605223988034181,3087.327053366313,1,0.8001542588240419,AU,3,0.3023441782190376,DE,2,4,5,1,16.844387353432555,1,normal,40.71429535589509,13.571431785298362,0.7068454054842898,0,1,0,0,0,1,2,0,0.4727223349898156,0.0,-0.1547969513839588,0,0.5494188047517474,I don't remember making this purchase.,0.39,0.4418167004969446,0.3054555330020368,0.2464390854151876,1,0,0,first_party_fraud,QUALITY,App,203.57147677947543,2024-06-03 22:49:00
